#,Title,Author,Acquired Date,Type
451,Turbulence: A Novel,David Szalay,"June 13, 2021",Purchase
452,Sweet Bean Paste: The International Bestseller,Durian Sukegawa,"June 13, 2021",Sample
453,The Hole,Hiroko Oyamada,"June 13, 2021",Sample
454,Red Widow,Alma Katsu,"June 13, 2021",Sample
455,How to Betray Your Country,Wolff James,"June 6, 2021",Purchase
456,Sooley: A Novel,John Grisham,"June 6, 2021",Sample
457,The Last Mrs. Parrish: A Reese's Book Club Pick,Liv Constantine,"June 5, 2021",Purchase
458,Never Far Away,Michael Koryta,"May 29, 2021",Purchase
459,"The Lost Apothecary: A Captivating Historical Mystery Unveiling Secrets of Poison, Revenge, and Female Empowerment—Don't Miss Sarah Penner's Newest Spell-Binding Book, The Amalfi Curse",Sarah Penner,"May 28, 2021",Sample
460,V2: A novel of World War II,Robert Harris,"May 20, 2021",Purchase
461,Sharp Objects: A Novel,Gillian Flynn,"May 18, 2021",Purchase
462,Truly Like Lightning: A Novel,David Duchovny,"May 18, 2021",Sample
463,First Person Singular: Stories,Haruki Murakami,"May 13, 2021",Purchase
464,Project Hail Mary: A Novel,Andy Weir,"May 12, 2021",Sample
465,We Were Liars,E. Lockhart,"May 1, 2021",Sample
466,The Sanatorium: Reese's Book Club: A Novel (Detective Elin Warner 1),Sarah Pearse,"May 1, 2021",Sample
467,The Wives: A Domestic Thriller – A Twisty Psychological Novel Where No One Is Who They Seem,Tarryn Fisher,"May 1, 2021",Purchase
468,The Guest List: A Reese's Book Club Pick and New York Times Bestseller,Lucy Foley,"April 24, 2021",Purchase
469,To Kill a Mockingbird (Harperperennial Modern Classics),Harper Lee,"April 24, 2021",Purchase
470,What Alice Forgot,Liane Moriarty,"April 23, 2021",Sample
471,Mexican Gothic,Silvia Moreno-Garcia,"April 23, 2021",Sample
472,Nine Perfect Strangers,Liane Moriarty,"April 17, 2021",Purchase
473,Everything I Never Told You: A Novel,Celeste Ng,"April 10, 2021",Purchase
474,Wrecking Ball (Diary of a Wimpy Kid #14),Jeff Kinney,"April 8, 2021",Purchase
475,Pretty Things: A Novel,Janelle Brown,"April 7, 2021",Purchase
476,Rowley Jefferson's Awesome Friendly Spooky Stories: From the Creator of Diary of a Wimpy Kid (The Awesome Friendly Kid Series Book 3),Jeff Kinney,"April 7, 2021",Purchase
477,"Foregone: A Searing Final Confession of Vietnam War Draft Evaders, Betrayal, and Recovered Memory",Russell Banks,"March 2, 2021",Sample
478,Black Buck: A Novel,Mateo Askaripour,"January 20, 2021",Sample
479,Conversations with Friends: A Novel,Sally Rooney,"January 13, 2021",Sample
480,The End of October: A novel,Lawrence Wright,"January 8, 2021",Sample
481,The Deep End (Diary of a Wimpy Kid #15),Jeff Kinney,"November 26, 2020",Purchase
482,Interior Chinatown: A Novel (National Book Award Winner),Charles Yu,"November 19, 2020",Sample
483,Tokyo Ueno Station (National Book Award Winner): A Novel,Yu Miri,"November 19, 2020",Sample
484,Where the Wild Ladies Are,Aoko Matsuda,"November 16, 2020",Sample
485,The Best of Me,David Sedaris,"November 8, 2020",Purchase
486,Piranesi,Susanna Clarke,"October 26, 2020",Sample
487,The Sentinel: A Jack Reacher Novel,"Lee Child, Andrew Child","October 26, 2020",Purchase
488,The Factory,Hiroko Oyamada,"October 15, 2020",Sample
489,A Tale for the Time Being: A Novel (ALA Notable Books for Adults),Ruth Ozeki,"October 15, 2020",Sample
490,A Time for Mercy (Jake Brigance Book 3),John Grisham,"October 14, 2020",Purchase
491,The Tenant (Korner and Werner Book 1),Katrine Engberg,"October 9, 2020",Sample
492,The Nicotine Chronicles (Akashic Drug Chronicles),"Lee Child, Lee Child","October 8, 2020",Purchase
493,Red Pill: A novel,Hari Kunzru,"October 7, 2020",Sample
494,Just Like You: A Novel,Nick Hornby,"October 1, 2020",Purchase
495,The Bottoms,Joe R. Lansdale,"October 1, 2020",Sample
496,More Better Deals,Joe R. Lansdale,"September 28, 2020",Purchase
497,My Sunshine Away,M. O. Walsh,"September 26, 2020",Purchase
498,The Sun Down Motel,Simone St. James,"September 24, 2020",Sample
499,The Man Who Saw Everything: A Novel,Deborah Levy,"September 20, 2020",Sample
500,The Big Door Prize,M. O. Walsh,"September 17, 2020",Purchase
501,For the Best,Vanessa Lillie,"September 16, 2020",Sample
502,Spark,Naoki Matayoshi,"September 14, 2020",Purchase
503,A Beautifully Foolish Endeavor: A Novel (The Carls Book 2),Hank Green,"September 5, 2020",Purchase
504,Antkind: A Novel,Charlie Kaufman,"September 4, 2020",Sample
505,Seventeen: A Novel,Hideo Yokoyama,"September 4, 2020",Sample
506,The Boy from the Woods,Harlan Coben,"September 3, 2020",Sample
507,SOLOMON vs. LORD (Solomon vs. Lord Legal Thrillers Book 1),Paul Levine,"September 2, 2020",Sample
508,Behind the Red Door: A Novel,Megan Collins,"September 2, 2020",Sample
509,"The Lightness: A Deadly Coming-of-Age Thriller of Female Friendship, Buddhist Magic, and Levitation",Emily Temple,"August 23, 2020",Purchase
510,Rowley Jefferson's Awesome Friendly Adventure (The Awesome Friendly Kid Series): From the Creator of Diary of a Wimpy Kid,Jeff Kinney,"August 22, 2020",Purchase
511,Dead Size,Sawney Hatton,"August 21, 2020",Sample
512,Death in Her Hands: A Novel,Ottessa Moshfegh,"August 21, 2020",Sample
513,The Last Tourist: A Novel (Milo Weaver Book 4),Olen Steinhauer,"August 20, 2020",Sample
514,Pizza Girl (Lambda Literary Award Finalist): A Novel,Jean Kyoung Frazier,"August 16, 2020",Purchase
515,The Disaster Tourist: A Novel,Yun Ko-Eun,"August 15, 2020",Sample
516,Conviction,Denise Mina,"August 15, 2020",Sample
517,Luster: A Novel,Raven Leilani,"August 10, 2020",Purchase
518,My Darkest Prayer,S.A. Cosby,"August 4, 2020",Purchase
519,Blacktop Wasteland: A Novel,S. A. Cosby,"July 31, 2020",Purchase
520,The White Van,Patrick Hoffman,"July 26, 2020",Purchase
521,Every Man a Menace: A Novel,Patrick Hoffman,"July 22, 2020",Purchase
522,Clean Hands: A Novel,Patrick Hoffman,"July 14, 2020",Purchase
523,Dark Places: A Novel,Gillian Flynn,"July 12, 2020",Sample
524,The Grownup: A Story by the Author of Gone Girl (Kindle Single),Gillian Flynn,"July 12, 2020",Sample
525,Afterwards: A Novel,Rosamund Lupton,"July 12, 2020",Sample
526,Braised Pork,An Yu,"July 10, 2020",Purchase
527,Slow Boat (Japanese Novellas Book 1),Hideo Furukawa,"July 9, 2020",Sample
528,The One: A Suspenseful Sci-Fi Thriller about the Pitfalls in Finding Your Perfect Match through Genetics (Dark Future Book 1),John Marrs,"July 9, 2020",Sample
529,Camino Winds,John Grisham,"July 1, 2020",Purchase
530,The Last Flight: A Novel,Julie Clark,"June 29, 2020",Sample
531,A Man,Keiichiro Hirano,"June 28, 2020",Purchase
532,The Paris Diversion: A novel by the New York Times bestselling author of The Expats,Chris Pavone,"June 14, 2020",Purchase
533,Fever Dream: A Novel,Samanta Schweblin,"May 21, 2020",Sample
534,The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),Suzanne Collins,"May 18, 2020",Purchase
535,Defending Jacob: A Novel,William Landay,"May 11, 2020",Purchase
536,The Aosawa Murders,Riku Onda,"May 10, 2020",Sample
537,Little Eyes: A Novel,Samanta Schweblin,"May 10, 2020",Purchase
538,The Memory Police: A Novel,Yoko Ogawa,"May 5, 2020",Purchase
539,Themes and Variations: An Essay,David Sedaris,"May 3, 2020",Borrowed
540,Themes and Variations: An Essay,David Sedaris,"May 3, 2020",Sample
541,A Good Girl's Guide to Murder,Holly Jackson,"April 30, 2020",Purchase
542,The Hidden Girl and Other Stories,Ken Liu,"April 26, 2020",Purchase
543,Far North: A Novel,Marcel Theroux,"April 25, 2020",Sample
544,Newcomer: A Mystery (The Kyoichiro Kaga Series Book 2),Keigo Higashino,"April 24, 2020",Sample
545,Die Next,Jonathan Stone,"April 15, 2020",Purchase
546,The Cypress House,Michael Koryta,"April 12, 2020",Sample
547,How to Murder Your Life: A Memoir,Cat Marnell,"April 5, 2020",Purchase
548,Dept. of Speculation (Vintage Contemporaries),Jenny Offill,"March 29, 2020",Sample
549,The Glass Hotel: A novel,Emily St. John Mandel,"March 24, 2020",Purchase
550,The Intuitionist: A Novel,Colson Whitehead,"March 14, 2020",Purchase
551,Apex Hides the Hurt,Colson Whitehead,"March 7, 2020",Purchase
552,Slade House: A Novel,David Mitchell,"March 6, 2020",Sample
553,How Quickly She Disappears,Raymond Fleischmann,"March 5, 2020",Sample
554,Alex: The Heart-Stopping International Bestseller (The Paris Crime Files Book 2),Pierre Lemaitre,"March 3, 2020",Sample
555,"Family Trust: A Sharp Comedic Family Saga – Silicon Valley Greed, Chinese American Identity, and a High-Stakes Inheritance Battle",Kathy Wang,"March 3, 2020",Sample
556,The Department of Sensitive Crimes: A Detective Varg Novel (1) (Detective Varg Series),Alexander McCall Smith,"March 1, 2020",Purchase
557,Solstice: A Tropical Horror Comedy,Lorence Alison,"February 29, 2020",Purchase
558,The Tenant (Korner and Werner Book 1),Katrine Engberg,"February 18, 2020",Purchase
559,Hi Five (An IQ Novel Book 4),Joe Ide,"February 15, 2020",Purchase
560,Indelicacy: A Novel,Amina Cain,"February 14, 2020",Sample
561,"The Last Town (The Wayward Pines Trilogy, Book 3)",Blake Crouch,"February 3, 2020",Purchase
562,The Gone-Away World: A Novel,Nick Harkaway,"February 1, 2020",Sample
563,"Wayward (The Wayward Pines Trilogy, Book 2)",Blake Crouch,"January 26, 2020",Purchase
564,One of Us Is Next: The Sequel to One of Us Is Lying,Karen M. McManus,"January 25, 2020",Purchase
565,House on Fire: A Novel (A Nick Heller Novel Book 4),Joseph Finder,"January 21, 2020",Sample
566,American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,"January 20, 2020",Purchase
567,Ten Years in the Tub,Nick Hornby,"January 17, 2020",Sample
568,Dark Matter: A Novel,Blake Crouch,"January 16, 2020",Purchase
569,American Dirt: Chapter Sampler,Jeanine Cummins,"January 14, 2020",Purchase
570,Just Mercy: A Story of Justice and Redemption (One World Essentials),Bryan Stevenson,"January 12, 2020",Sample
571,The Chestnut Man: A Mystery Novel,Soren Sveistrup,"January 12, 2020",Sample
572,"More Baths Less Talking: Notes from the Reading Life of a Celebrated Author Locked in Battle with Football, Family, and Time",Nick Hornby,"January 12, 2020",Sample
573,Recursion: A Novel,Blake Crouch,"January 9, 2020",Purchase
574,Dear Edward: A Read with Jenna Pick: A Novel,Ann Napolitano,"January 7, 2020",Sample
575,The Great Pretender: The Undercover Mission That Changed Our Understanding of Madness,Susannah Cahalan,"January 6, 2020",Sample
576,The Warehouse: A Novel,Rob Hart,"January 6, 2020",Sample
577,All This Could Be Yours: A Searing Southern Family Drama About Confronting Bad Men and Toxic Legacy,Jami Attenberg,"January 6, 2020",Sample
578,Trust Exercise: A Novel,Susan Choi,"December 31, 2019",Purchase
579,Mississippi Reckoning,Mitchell Zimmerman,"December 30, 2019",Sample
580,The Second Sleep: A novel,Robert Harris,"December 12, 2019",Purchase
581,The Hero: A Guide to the Origins of Mythology and Storytelling,Lee Child,"November 25, 2019",Purchase
582,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,"November 22, 2019",Sample
583,The Guardians: A Novel,John Grisham,"November 20, 2019",Purchase
584,Blue Moon: A Jack Reacher Novel,Lee Child,"October 29, 2019",Purchase
585,Real Tigers (Slough House Book 3),Mick Herron,"October 29, 2019",Purchase
586,"Crossing the Chasm, 3rd Edition: The Updated Version of the Insightful Guide on Bringing Cutting-Edge Products to the Mainstream (Collins Business Essentials)",Geoffrey A. Moore,"October 28, 2019",Purchase
587,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"October 21, 2019",Purchase
588,Dead Lions (Slough House Book 2),Mick Herron,"October 12, 2019",Purchase
589,The Punch,Noah Hawley,"October 8, 2019",Sample
590,Slow Horses (Slough House Book 1),Mick Herron,"September 22, 2019",Purchase
591,A Nearly Normal Family: A Novel,M. T. Edvardsson,"September 21, 2019",Sample
592,The Thief,Fuminori Nakamura,"September 21, 2019",Sample
593,The Lonesome Bodybuilder: Stories,Yukiko Motoya,"September 19, 2019",Purchase
594,There There: A novel,Tommy Orange,"September 16, 2019",Sample
595,Strange Weather in Tokyo: A Novel,Hiromi Kawakami,"September 16, 2019",Sample
596,The Nakano Thrift Shop: A Novel,Hiromi Kawakami,"September 15, 2019",Sample
597,Convenience Store Woman: A Novel,Sayaka Murata,"September 14, 2019",Purchase
598,The Imaginary Corpse,Tyler Hayes,"September 13, 2019",Sample
599,Fever: A Novel,Mary Beth Keane,"September 12, 2019",Sample
600,Joe Country (Slough House Book 6),Mick Herron,"September 9, 2019",Sample
