#,Title,Author,Acquired Date,Type
238,Death of the Red Rider: A Leningrad Confidential,Yulia Yakovleva,"November 20, 2023",Sample
239,Deus X (An August Snow Novel Book 4),Stephen Mack Jones,"November 20, 2023",Sample
240,Skeletons in the Closet,Jean-Patrick Manchette,"November 22, 2023",Sample
241,Beirut Station: Two Lives of a Spy: A Novel,Paul Vidich,"November 20, 2023",Sample
242,Moscow X: A Novel,David McCloskey,"November 19, 2023",Sample
243,Vengeance Is Mine: A novel,Marie NDiaye,"November 18, 2023",Purchase
244,Vengeance Is Mine: A novel,Marie NDiaye,"November 18, 2023",Sample
245,The Premonition: A Novel,Banana Yoshimoto,"November 15, 2023",Sample
246,The Premonition: A Novel,Banana Yoshimoto,"November 15, 2023",Purchase
247,Luckiest Girl Alive: A Novel,Jessica Knoll,"November 15, 2023",Sample
248,Happy-Go-Lucky,David Sedaris,"November 10, 2023",Purchase
249,The Secret: A Jack Reacher Novel,"Lee Child, Andrew Child","October 29, 2023",Purchase
250,The Exchange: After The Firm (The Firm Series Book 2),John Grisham,"October 18, 2023",Purchase
251,Bright Young Women: A Novel,Jessica Knoll,"October 8, 2023",Purchase
252,Bright Young Women: A Novel,Jessica Knoll,"October 8, 2023",Sample
253,Brooklyn Crime Novel: A Novel,Jonathan Lethem,"October 6, 2023",Sample
254,Wellness: A Novel (Oprah's Book Club),Nathan Hill,"September 23, 2023",Purchase
255,The Secret Hours,Mick Herron,"September 17, 2023",Sample
256,Happiness Falls: A GMA Book Club Pick: A Novel,Angie Kim,"September 9, 2023",Purchase
257,Happiness Falls: A GMA Book Club Pick: A Novel,Angie Kim,"September 9, 2023",Sample
258,The Heaven & Earth Grocery Store: A Novel,James McBride,"September 8, 2023",Sample
259,"The Poppy War: An Epic Fantasy of War, Magic, and Mythology in a High-Conflict World from Bestselling Author R. F. Kuang",R. F. Kuang,"September 6, 2023",Purchase
260,Calypso's Guest: A Short Story,Andrew Sean Greer,"September 4, 2023",Sample
261,"The Poppy War: An Epic Fantasy of War, Magic, and Mythology in a High-Conflict World from Bestselling Author R. F. Kuang",R. F. Kuang,"September 6, 2023",Sample
262,Yellowface: A Chilling Novel of Racism and Cultural Appropriation from the author of Katabasis,R. F. Kuang,"August 30, 2023",Purchase
263,Yellowface: A Chilling Novel of Racism and Cultural Appropriation from the author of Katabasis,R. F. Kuang,"August 30, 2023",Sample
264,All the Sinners Bleed: A Novel,S. A. Cosby,"August 28, 2023",Sample
265,The Surgeon: An utterly unputdownable and pulse-pounding psychological thriller packed with twists,Leslie Wolfe,"August 23, 2023",Purchase
266,"My Husband: The Unsettling Domestic Suspense with an Unreliable Narrator, Keep Guessing Until the End",Maud Ventura,"August 19, 2023",Purchase
267,The Surgeon: An utterly unputdownable and pulse-pounding psychological thriller packed with twists,Leslie Wolfe,"August 23, 2023",Sample
268,"My Husband: The Unsettling Domestic Suspense with an Unreliable Narrator, Keep Guessing Until the End",Maud Ventura,"August 19, 2023",Sample
269,Counterweight: A Novel,Djuna,"August 19, 2023",Purchase
270,Counterweight: A Novel,Djuna,"August 19, 2023",Sample
271,Bad Kids,Zijin Chen,"August 17, 2023",Sample
272,Racing the Light (An Elvis Cole and Joe Pike Novel Book 19),Robert Crais,"August 12, 2023",Purchase
273,Racing the Light (An Elvis Cole and Joe Pike Novel Book 19),Robert Crais,"August 12, 2023",Sample
274,The Deep Sky: A Novel,Yume Kitasei,"August 11, 2023",Sample
275,An Honest Man: A Novel,Michael Koryta,"August 2, 2023",Purchase
276,An Honest Man: A Novel,Michael Koryta,"July 25, 2023",Sample
277,The Good Ones: A Southern Gothic Crime Thriller of Women Sleuths and Small-Town Mysteries,Polly Stewart,"July 22, 2023",Purchase
278,The Good Ones: A Southern Gothic Crime Thriller of Women Sleuths and Small-Town Mysteries,Polly Stewart,"July 22, 2023",Sample
279,What Remains,Wendy Walker,"July 20, 2023",Sample
280,The Quiet Tenant: A novel,Clémence Michallon,"July 15, 2023",Purchase
281,The Quiet Tenant: A novel,Clémence Michallon,"July 15, 2023",Sample
282,My Murder: A Novel,Katie Williams,"July 4, 2023",Purchase
283,My Murder: A Novel,Katie Williams,"July 4, 2023",Sample
284,The Secret History: A Novel (Vintage Contemporaries),Donna Tartt,"July 4, 2023",Sample
285,What Lies in the Woods: A Novel,Kate Alice Marshall,"June 25, 2023",Purchase
286,What Lies in the Woods: A Novel,Kate Alice Marshall,"June 25, 2023",Sample
287,Show of Hands: A Novel,Anthony McCarten,"June 25, 2023",Sample
288,Going Zero: A Novel,Anthony McCarten,"June 17, 2023",Purchase
289,Going Zero: A Novel,Anthony McCarten,"June 17, 2023",Sample
290,Summit Lake,Charlie Donlea,"June 7, 2023",Sample
291,Don't Believe It,Charlie Donlea,"June 7, 2023",Purchase
292,The Girl Who Was Taken: A Gripping Psychological Thriller,Charlie Donlea,"May 28, 2023",Purchase
293,The Girl Who Was Taken: A Gripping Psychological Thriller,Charlie Donlea,"May 28, 2023",Sample
294,Those Empty Eyes: A Chilling Novel of Suspense with a Shocking Twist,Charlie Donlea,"May 18, 2023",Purchase
295,Twenty Years Later: A Riveting New Thriller,Charlie Donlea,"May 7, 2023",Purchase
296,Novelist as a Vocation,Haruki Murakami,"May 6, 2023",Sample
297,Jack Reacher: A Mysterious Profile (Mysterious Profiles),Lee Child,"May 6, 2023",Sample
298,Twenty Years Later: A Riveting New Thriller,Charlie Donlea,"May 7, 2023",Sample
299,AMOK: A Dox Thriller (Dox Thrillers),Barry Eisler,"April 23, 2023",Purchase
300,AMOK: A Dox Thriller (Dox Thrillers),Barry Eisler,"April 23, 2023",Sample
301,The Last Thing He Told Me: A Reese Witherspoon Book Club Pick,Laura Dave,"April 16, 2023",Purchase
302,The Last Thing He Told Me: A Reese Witherspoon Book Club Pick,Laura Dave,"April 16, 2023",Sample
303,The Shamshine Blind: A Novel,Paz Pardo,"April 16, 2023",Sample
304,Diablo Mesa (Nora Kelly Book 3),"Douglas Preston, Lincoln Child","April 4, 2023",Purchase
305,Diablo Mesa (Nora Kelly Book 3),"Douglas Preston, Lincoln Child","April 4, 2023",Sample
306,The Feral Detective: A California Desert Noir,Jonathan Lethem,"March 25, 2023",Purchase
307,Girl in Landscape: A Novel (Vintage Contemporaries),Jonathan Lethem,"March 20, 2023",Sample
308,The Devil and the Dark Water: A Locked-Room Historical Mystery,Stuart Turton,"March 20, 2023",Sample
309,Ragdoll: A Novel,Daniel Cole,"March 19, 2023",Sample
310,The Color Purple,Alice Walker,"March 19, 2023",Sample
311,The Eighth Sister: A Thriller (Charles Jenkins Book 1),Robert Dugoni,"March 19, 2023",Sample
312,Red London (Red Widow Book 2),Alma Katsu,"March 19, 2023",Sample
313,Pineapple Street: A GMA Book Club Pick: A Novel,Jenny Jackson,"March 18, 2023",Sample
314,The Speed Queen,Stewart O'Nan,"March 12, 2023",Purchase
315,Last Night at the Lobster,Stewart O'Nan,"March 12, 2023",Sample
316,Ocean State,Stewart O'Nan,"March 10, 2023",Purchase
317,Ocean State,Stewart O'Nan,"March 10, 2023",Sample
318,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),Mark Manson,"March 9, 2023",Sample
319,The Other Side of Night: A Novel,Adam Hamdy,"March 9, 2023",Purchase
320,"Black 13: The Most Explosive Thriller You'll Read All Year, from author of White Fire (Scott Pearce Book 1)",Adam Hamdy,"March 8, 2023",Sample
321,"The Chase (Fox and O'Hare Series, Book 2)","Janet Evanovich, Lee Goldberg","March 8, 2023",Sample
322,Shark Bait: A laugh until you die coastal crime thriller (A Troy Bodean Tropical Thriller Book 6),David F. Berens,"March 8, 2023",Sample
323,The Southern Lawyer (The Southern Lawyer Series Book 1),Peter O'Mahoney,"March 8, 2023",Sample
324,Bad Actors (Slough House Book 8),Mick Herron,"January 29, 2023",Sample
325,The Other Side of Night: A Novel,Adam Hamdy,"March 9, 2023",Sample
326,Breasts and Eggs: A Novel,Mieko Kawakami,"January 18, 2023",Purchase
327,Breasts and Eggs: A Novel,Mieko Kawakami,"January 18, 2023",Sample
328,Blood Sugar,Sascha Rothchild,"January 10, 2023",Purchase
329,Blood Sugar,Sascha Rothchild,"January 10, 2023",Sample
330,Less Is Lost (The Arthur Less Books Book 2),Andrew Sean Greer,"January 8, 2023",Sample
331,Heaven: A Novel,Mieko Kawakami,"January 8, 2023",Sample
332,The Best American Short Stories 2022,"Andrew Sean Greer, Heidi Pitlor","January 8, 2023",Sample
333,Several People Are Typing: A GMA Book Club Pick,Calvin Kasulke,"January 8, 2023",Sample
334,Lost and Found in the 60s,Paul Justison,"January 1, 2023",Purchase
335,Light Years from Home: A Novel – A Compelling Sci-Fi Thriller of Alien Contact and Broken Family Bonds,Mike Chen,"December 31, 2022",Sample
336,Lost and Found in the 60s,Paul Justison,"January 1, 2023",Sample
337,Spook Street (Slough House Book 4),Mick Herron,"December 4, 2022",Purchase
338,We Were Never Here: Reese's Book Club: A Novel,Andrea Bartz,"December 4, 2022",Purchase
339,Life Ceremony: Stories,Sayaka Murata,"December 4, 2022",Sample
340,We Were Never Here: Reese's Book Club: A Novel,Andrea Bartz,"December 4, 2022",Sample
341,The Power Couple: A Novel,Alex Berenson,"November 23, 2022",Purchase
342,The Power Couple: A Novel,Alex Berenson,"November 23, 2022",Sample
343,Diper Överlöde (Diary of a Wimpy Kid #17),Jeff Kinney,"November 22, 2022",Purchase
344,Our Missing Hearts: Reese's Book Club: A Novel,Celeste Ng,"November 22, 2022",Sample
345,Happy-Go-Lucky,David Sedaris,"November 22, 2022",Sample
346,Diper Överlöde (Diary of a Wimpy Kid #17),Jeff Kinney,"November 22, 2022",Sample
347,Listening for Ghosts: A Novella and Four Stories,David Rabe,"November 20, 2022",Sample
348,The Night Shift: A Novel,Alex Finlay,"November 20, 2022",Sample
349,On Java Road: A Novel,Lawrence Osborne,"November 20, 2022",Sample
350,The Prison Minyan,Jonathan Stone,"November 19, 2022",Sample
351,Bliss Montage: Stories,Ling Ma,"November 13, 2022",Purchase
352,No Plan B: A Jack Reacher Novel,"Lee Child, Andrew Child","October 25, 2022",Purchase
353,The Boys from Biloxi: A Legal Thriller,John Grisham,"October 19, 2022",Purchase
354,Act of Oblivion: An Epic Historical Novel of the Manhunt for King Charles I's Killers in New England,Robert Harris,"October 1, 2022",Purchase
355,Ascension: A Gripping British Spy Thriller of International Espionage and Political Secrets (An Elliot Kane Thriller Book 2),Oliver Harris,"September 17, 2022",Purchase
356,Dead-End Memories: Stories,Banana Yoshimoto,"August 25, 2022",Purchase
357,A Shadow Intelligence: The First Elliot Kane Thriller – NPR Best Book 2020 Spy Thriller (An Elliot Kane Thriller 1),Oliver Harris,"August 25, 2022",Borrowed
358,A Shadow Intelligence: The First Elliot Kane Thriller – NPR Best Book 2020 Spy Thriller (An Elliot Kane Thriller 1),Oliver Harris,"August 25, 2022",Sample
359,A Long Night in Paris: A Novel,Dov Alfon,"August 9, 2022",Purchase
360,The Last White Man: A Novel,Mohsin Hamid,"August 6, 2022",Purchase
361,The Last Thing to Burn: A Novel,Will Dean,"August 6, 2022",Sample
362,First Born: A Novel,Will Dean,"July 28, 2022",Purchase
363,Atomic Anna,Rachel Barenbaum,"July 26, 2022",Sample
364,To Paradise: A Novel,Hanya Yanagihara,"July 24, 2022",Sample
365,Soy Sauce for Beginners: A Novel,Kirstin Chen,"July 22, 2022",Purchase
366,"Dirtbag, Massachusetts: A Confessional",Isaac Fitzgerald,"July 20, 2022",Sample
367,Songs in Ursa Major: A novel,Emma Brodie,"July 19, 2022",Sample
368,"Our Woman in Moscow: An Epic Cold War Spy Thriller – Twin Sisters, Betrayal, and Dangerous Secrets",Beatriz Williams,"July 5, 2022",Purchase
369,A Scandal in Brooklyn: A Short Story,Lauren Wilkinson,"July 3, 2022",Purchase
370,Counterfeit: A Novel,Kirstin Chen,"June 26, 2022",Purchase
371,Ghost Lover: Stories,Lisa Taddeo,"June 26, 2022",Sample
372,How To Start A Fire,Lisa Lutz,"June 26, 2022",Purchase
373,The Swallows: A Novel,Lisa Lutz,"June 25, 2022",Sample
374,The Accomplice: A Novel,Lisa Lutz,"June 25, 2022",Sample
375,The Passenger,Lisa Lutz,"June 19, 2022",Purchase
376,"The Undoing: Previously Published as You Should Have Known: The Most Talked About TV Series of 2020, Now on HBO",Jean Hanff Korelitz,"June 18, 2022",Sample
377,The Latecomer: A Novel,Jean Hanff Korelitz,"June 18, 2022",Sample
378,The Plot: A Novel (The Book Series 1),Jean Hanff Korelitz,"June 14, 2022",Purchase
379,City of Orange,David Yoon,"June 12, 2022",Sample
380,Drive My Car (A Vintage Short),Haruki Murakami,"June 12, 2022",Purchase
381,Sparring Partners: Novellas,John Grisham,"June 2, 2022",Purchase
382,City on Fire: A Novel (The Danny Ryan Trilogy Book 1),Don Winslow,"May 31, 2022",Sample
383,Portrait of a Thief: A Novel,Grace D. Li,"May 30, 2022",Sample
384,"Inspired: Understanding Creativity: A Journey Through Art, Science, and the Soul – A Porchlight Award Winner on Innovation, Technology, and the Secrets to Unlocking Potential",Matt Richtel,"May 24, 2022",Sample
385,Two Spies in Caracas: A Novel,Moisés Naím,"May 24, 2022",Borrowed
386,Two Spies in Caracas: A Novel,Moisés Naím,"May 24, 2022",Sample
387,How High We Go in the Dark: A Novel,Sequoia Nagamatsu,"May 15, 2022",Sample
388,Damascus Station: A Novel,David McCloskey,"May 7, 2022",Purchase
389,After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul – Jony Ive vs. Tim Cook and the Rise of Operational Excellence Over Design,Tripp Mickle,"May 3, 2022",Purchase
390,BOX 88,Charles Cumming,"April 23, 2022",Purchase
391,The Berlin Exchange: A Novel,Joseph Kanon,"April 19, 2022",Sample
392,The Matchmaker: A Spy in Berlin,Paul Vidich,"April 15, 2022",Purchase
393,How High We Go in the Dark: A Novel,Sequoia Nagamatsu,"May 15, 2022",Purchase
394,"Thank You, Mr. Nixon: Stories",Gish Jen,"April 15, 2022",Purchase
395,The Three-Body Problem (The Three-Body Problem Series Book 1),Cixin Liu,"April 14, 2022",Purchase
396,Fearless Jones,Walter Mosley,"April 13, 2022",Sample
397,Smoke (An IQ Novel Book 5),Joe Ide,"April 11, 2022",Sample
398,Earthlings: A Novel,Sayaka Murata,"April 11, 2022",Sample
399,Sea of Tranquility: A novel,Emily St. John Mandel,"April 4, 2022",Purchase
400,On Such a Full Sea: A Novel,Chang-rae Lee,"March 19, 2022",Purchase
